,Class,Comment,FNODE_,IsCentroid,Linestring,TNODE_,cross,endChainag,fix_id,geometry,id,length,length_1,mode,name,networkGrp,osm_id,osmid,penalty,road,roadId,startChain,type,width,FromTo,m1_01,m1_02,m2_01,m2_02,m3_01,m3_02,m4_01,m4_02,m5_01,m6_01,m7_01,m7_02,m7_03,m8_01,m8_02,m8_03,m9_01,m10,avrgLane,truckAadt
0,3,,0,0,93,1992,1,,142,"LINESTRING (90.50827323676592 23.59237843308489, 90.5099551 23.5892959, 90.5121472 23.5846752, 90.51453927698215 23.58154866795083, 90.55047295111929 23.56864642901747)",2092,5.85016597,,water,Shitalakshya,0,101999102,12052,0,,,,river,,1992,1.00258377,1.004028197,1.000486632,0.000241864,0.103174603,1.001821107,0,0.097335307,87,1.000124686,0.000324859,42040.91654,46708.60121,0,0.093520457,0,0,0,0,0
1,1,,0,0,1,1881,1,,2,"LINESTRING (90.51456640233127 23.56791358182071, 90.51529361121122 23.56738633774209, 90.52658337570493 23.56439080370456, 90.53074276262366 23.56384615381322, 90.55047295111929 23.56864642901747)",2070,4.169375684,,water,Dhaleshwari,0,0,11919,0,,,,river,0,1881,1.006151171,1.009109312,1.001967462,0.00262353,0.029265873,1.009054508,0,0.035529238,83,1.000958345,0.001903892,273978.472,324608.8381,0,0.036773597,0,0,0,0,0
2,1,,0,0,0,1264,0,,1,"LINESTRING (90.55047295111929 23.56864642901747, 90.58243800004219 23.57256028107882)",0,3.62114962,,water,Treemohini,0,0,10000,0,,,,,0,1264,1.003547542,1.005040323,1.002950584,0.003756911,0.132440476,1.010140411,0,0.126202813,75,1.001602426,0.003422842,246307.3476,461130.7275,0,0.127752898,0,0,0,0,0
3,,,10241,1,,22730,0,0.445,,"LINESTRING (91.3994163 23.0096667, 91.39933797464178 23.00965938930739, 91.39524969999999 23.0092778, 91.3898052 23.0093056)",17309,1,,road,,0,,20451,0,N104,17098,0.445,0,,1024122730,1.004000072,1.001004016,1,1.39E-15,0,1.002887863,0,0,15,1,0,0,0,1171,0,468.4,0,0,2.5,1171
4,,,10241,1,,22733,0,2,,"LINESTRING (91.3898052 23.0093056, 91.3814438 23.0095278, 91.38139918010619 23.0095278)",17310,0.883024577,,road,,0,,20452,0,N104,17100,1.878,0,,1024122733,1.01682829,1.012182741,1,1.39E-15,0.03125,1.005828491,101,0.023316062,14,1,0,0,0,1171,0.013833908,468.4,5.59E-05,0,2.5,1171
5,,,5803,0,,5938,0,20.77,,"LINESTRING (89.23163819999999 23.9871941, 89.2239438 23.9883608, 89.2221938 23.9888886, 89.2121667 23.9889163, 89.2023889 23.9891386, 89.1924719 23.9898052, 89.1831382 23.9922219, 89.1754438 23.9974997, 89.16830490000001 24.0036944, 89.166916 24.0045278, 89.16027779999999 24.0078056, 89.1520833 24.0117778, 89.147083 24.0180549, 89.13716629999999 24.0168049, 89.1371386 24.0168327, 89.13694409999999 24.0168327, 89.12759783771166 24.01740073663417, 89.1177493 24.0179993, 89.10777779999999 24.0177493, 89.098083 24.0180549, 89.088583 24.0194716, 89.08127709999999 24.025416, 89.0774993 24.0304438, 89.075416 24.0328882, 89.0690271 24.0398608, 89.06327779999999 24.0443052, 89.05683329999999 24.0494997, 89.05463890000002 24.0587778, 89.0547222 24.0663889)",5115,22.65,,road,,0,,16031,0,R605,4991,20.77,0,,58035938,1,1,1,1.39E-15,0,1.004238258,0,0.00296077,47,1,0,0,0,309,0.001635943,123.6,0,8.98E-05,2.5,309
6,,,5803,0,,5779,0,11.821,,"LINESTRING (89.41016670000001 23.9361941, 89.40958329999999 23.934583, 89.4028333 23.9379997, 89.3949997 23.9433608, 89.3873052 23.9486941, 89.37933270000001 23.9541944, 89.37111040000001 23.9590833, 89.3618611 23.9603889, 89.3520833 23.9616111, 89.34661080000001 23.9621667, 89.3421108 23.9630833, 89.3321382 23.9635556, 89.3225271 23.9629444, 89.3126944 23.9639444, 89.30475 23.9634167, 89.30277779999999 23.9638333, 89.2934441 23.9683327, 89.28524969999999 23.9693049, 89.27547159999999 23.9691938, 89.26625 23.9718604, 89.25813890000001 23.9764993, 89.25036109999999 23.9821382, 89.2397497 23.9857219, 89.23163819999999 23.9871941)",5087,20,,road,,0,,15999,0,R605,4978,11.821,0,,57795803,1.000035095,1,1,1.39E-15,0,0.991928688,0,0.014433753,60,1,0,0,0,309,0.004487729,123.6,0,0,2.5,309
7,,,5803,0,,1997,1,,,"LINESTRING (89.23163819999999 23.9871941, 89.22197294109908 23.93166948514126)",51456,30.40104992,,road,,0,,12057,15,R713,999991,,1,,19975803,1,1,1,1.39E-15,0,0.985919779,0,0.01665433,40,1,0,0,0,0,0.006123672,0,0,0,2.1,0
8,3,,24580,0,40,1291,0,,121,"LINESTRING (90.39030913762761 21.74869173958875, 90.38725996699324 21.75309702285383)",1454,0.602435731,,water,Galaschipa,0,0,11346,0,,,,river,0,129124580,1,1,1,1.39E-15,0,0,0,0,0,1,0,0,0,0,0.000335121,0,0,0,0,0
9,3,,24580,0,75,1292,0,,48,"LINESTRING (90.39030913762761 21.74869173958875, 90.39247274592552 21.7534662056679)",1866,0.589416513,,water,Meghna,0,0,11347,0,,,,river,0,129224580,1,1,1,1.39E-15,0,0,0,0,0,1,0,0,0,0,0.000335121,0,0,0,0,0
10,3,,7,0,86,556,0,,130,"LINESTRING (90.8464017 24.1127532, 90.8511333 24.0753746, 90.8638148 24.0379502, 90.8355765 24.0199199, 90.81923271950534 23.98091009126061, 90.78643367388956 23.97144708811653, 90.7661973 23.9380655, 90.74283619440546 23.91553171253856)",1436,33.70877123,,water,Meghna River Branch,0,255332935,10696,0,,,,river,,7556,1,1,1,1.39E-15,0,0.997647358,0,0,69,1,0,0,0,0,0,0,0,0,0,0
11,3,,7,0,9,1277,1,,15,"LINESTRING (90.74283619440546 23.91553171253856, 90.76980570416508 23.88853364150932, 90.78115464760053 23.88925760146573, 90.78704979424593 23.88723629486012, 90.77816230619359 23.87802576024009, 90.76494299432569 23.86432594664875)",2071,11.11879131,,water,Meghna River Branch,0,0,11941,0,,,,river,0,71277,1,1,1,1.39E-15,0,0.998958377,0,0,55,1,0,0,0,0,0,0,0,0,0,0
12,3,,7,0,86,1325,1,,14,"LINESTRING (90.74283619440546 23.91553171253856, 90.7395684 23.9157844, 90.72298836678866 23.91046562001929, 90.7174462709368 23.90872855738735, 90.71336046117848 23.90744793943304, 90.70672842120241 23.87510779209412, 90.7253730630202 23.83531976409195, 90.73546726109872 23.8198413490802)",1437,14.19568905,,water,Meghna River Branch,0,255332935,10237,0,,,,river,,71325,1,1,1,1.39E-15,0,1.0003846,0,0,74,1,0,0,0,0,0,0,0,0,0,0
13,,,8200,1,,31497,0,6.37,,"LINESTRING (90.3488052 23.2225827, 90.3488052 23.2227216, 90.3494997 23.2253327, 90.34963859999999 23.2283882, 90.3493886 23.2283882, 90.34911080000001 23.2318604, 90.34858299999999 23.2364163, 90.34866629999999 23.2364997, 90.3536111 23.2363608, 90.35383330000001 23.2363052)",12509,2.085,,road,,0,,18415,0,R861,12317,5.12,0,,820031497,1.00276682,1.001004016,1,1.39E-15,0,0.993755729,0,0,14,1,0,0,0,366,0,146.4,0,0.013768488,2.5,366
14,,,8200,1,,8047,0,3.12,,"LINESTRING (90.33191600000001 23.1870552, 90.3337219 23.1930552, 90.3351108 23.1964719, 90.33627740000001 23.1989997, 90.33791629999999 23.2026944, 90.3396941 23.2026944, 90.34005520000001 23.2027222, 90.3450552 23.2053611, 90.3451386 23.2055, 90.34677740000001 23.2077778, 90.3474441 23.2138889, 90.3474441 23.2139722, 90.34741629999999 23.2166938, 90.3488052 23.2225827)",12346,4.819,,road,,0,,18399,0,R861,999990,3.12,0,,80478200,1.002540737,1.00201005,1,1.39E-15,0.03125,0.987480902,101,0.023316062,14,1,0,0,0,366,0.010363351,146.4,4.19E-05,0.016811214,2.5,366
15,,,34829,0,,22579,0,64.192,,"LINESTRING (89.97150690468608 22.57072304652483, 89.9725827 22.5748604, 89.97272159999999 22.5770549, 89.9728882 22.5790827, 89.9729438 22.5795549)",27961,0.991651804,,road,,0,,24491,0,R870,27787,63.734,0,,2257934829,1.003883721,1.00201005,1,1.39E-15,0,0.999759994,0,0,9,1,0,0,0,254,0,127,0,0,2,254
16,,,4781,0,,22551,0,3.995,,"LINESTRING (88.5811104 24.3684438, 88.5823604 24.3718327, 88.58538859999999 24.3765271, 88.5864163 24.3768327, 88.5888052 24.3766382, 88.59305520000001 24.3759438, 88.59472190000001 24.375666, 88.60027779999999 24.3747771, 88.6040278 24.3744438, 88.60416670000001 24.3747216, 88.60761109999999 24.3816938, 88.60777779999999 24.3820549, 88.60787159178949 24.38901989010527, 88.60788890000001 24.3903052, 88.60786109999999 24.3904163, 88.60763890000001 24.3949163, 88.60727779999999 24.399583, 88.6085556 24.4082222, 88.60874772736943 24.40855170239181)",2687,6.954473928,,road,,0,,32783,0,N605,2623,1.963,0,,478122551,1.001470962,1.00201005,1,1.39E-15,0,1.000628591,0,0,7,1,0,0,0,3244,0,463.4285714,0,0,7,3244
17,2,,2065,0,76,1345,1,,25,"LINESTRING (90.48044188917633 22.74590772679927, 90.49684194069239 22.78026536013004, 90.49907307982321 22.78566528378526, 90.50351236215161 22.79560467844504, 90.50668327810047 22.79911252710229, 90.51746439232659 22.80203566535953, 90.52467516705127 22.80137093768512, 90.52825227492519 22.80104118080199, 90.56852973527884 22.80291953410551, 90.6113235044128 22.81138928644171, 90.65844613732125 22.80005723463052, 90.66442389434477 22.7991387849655)",542,25.57590385,,water,Arial Khan,0,0,11390,0,,,,river,0,13452065,1,1,1.005634313,0.003886122,0.124007937,1.0242401,0,0.118430792,29,1.002055807,0.004790113,94072.45484,462937.7578,0,0.039249342,0,0,0,0,0
18,2,,2065,0,76,1634,1,,25,"LINESTRING (90.66442389434477 22.7991387849655, 90.67601018976951 22.79735861405696, 90.69821325703745 22.79224136875489, 90.73816014236714 22.79852789192798)",2098,8.436514441,,water,Arial Khan,0,0,12142,0,,,,river,0,16342065,1.001839556,1.003018109,1.004259747,0.003333424,0.172619048,1.006278845,0,0.151369356,18,1.001636707,0.003384789,53789.99387,238598.4795,0,0.057993174,0,0,0,0,0
19,,,2065,0,,5412,1,42.16,,"LINESTRING (90.6343052 22.7292771, 90.63333299999999 22.735333, 90.63388859999999 22.7381941, 90.6343052 22.7471941, 90.636583 22.7558056, 90.6397219 22.762, 90.640833 22.7639167, 90.6443608 22.7690827, 90.6451663 22.7715549, 90.6469163 22.7770827, 90.6479441 22.780166, 90.6481386 22.780916, 90.647583 22.7884997, 90.66442389434477 22.7991387849655)",3390,23.91764185,,road,,0,,15615,15,N809,3295,42.16,0,,20655412,1.002570928,1.004028197,1.005205174,0.005220884,0.048611111,1.00247894,0,0.039600296,27,1.002053776,0.003822399,224446.9272,313289.603,566,0.023895024,226.4,0,0,2.5,566
20,,,2065,0,,2150,1,57.785,,"LINESTRING (90.66442389434477 22.7991387849655, 90.7130191574616 22.82983840950069)",51256,20.64887581,,road,,0,,12140,15,N809,999991,42.16,1,,20652150,1,1,1,1.39E-15,0,1.002990483,0,0.006661732,18,1,0,0,0,296,0.005151192,118.4,0,0,2.5,296
21,,,22547,0,,4641,0,82.513,,"LINESTRING (89.99166629999999 24.4134167, 90.00752779999999 24.4106667, 89.99861079999999 24.4119722, 89.99630520000001 24.4120278, 89.99627740000001 24.412, 89.99159256609275 24.41248258378387)",51107,0.105131879,,road,,0,,32779,0,N4,46803,81.919,0,,464122547,1.001362257,1.00201005,1.013035292,0.009252766,0.08234127,1.059715006,0,0.076609919,54,1.005956489,0.013898413,274327.8172,1107758.628,2509,0.064160341,912.3636364,0,0.133778564,2.75,2509
22,,,22547,0,,27946,0,5.02,,"LINESTRING (89.99159256609275 24.41248258378387, 89.98980520000001 24.4126667, 89.98913859999999 24.4129167, 89.9862219 24.4140833, 89.98005490000001 24.414, 89.97747159999999 24.4129444, 89.9738327 24.4119722, 89.9729438 24.41175, 89.97074930000001 24.4111667, 89.9667771 24.4101389, 89.9661667 24.4085, 89.96250000000001 24.4086111, 89.9626944 24.4086667, 89.9568056 24.4065833)",2559,3.784002363,,road,,0,,14847,0,N602,2495,5.02,0,,2254727946,1.001291725,1.00201005,1,1.39E-15,0,1.001070536,0,0,54,1,0,0,0,727,0,223.6923077,0,0.531605097,3.25,727
23,,,22547,0,,16250,0,82.513,,"LINESTRING (89.9248882 24.33466615, 89.9248604 24.3369719, 89.92441600000001 24.3392497, 89.9259993 24.3423052, 89.92605490000001 24.3424719, 89.92688819999999 24.3451663, 89.92741600000001 24.3459441, 89.9292493 24.3475274, 89.92947159999999 24.3477219, 89.93333299999999 24.3509444, 89.9342219 24.3516667, 89.9352497 24.3525278, 89.94066629999999 24.3561944, 89.940833 24.3563333, 89.94191629999999 24.3572222, 89.94688859999999 24.3605278, 89.94769409999999 24.3605278, 89.94997190000001 24.36225, 89.9573056 24.368416, 89.9584167 24.3691104, 89.9591667 24.3694993, 89.9628611 24.3727493, 89.96497220000001 24.3735549, 89.97072159999999 24.375166, 89.97149930000001 24.3751104, 89.97405490000001 24.3756938, 89.9802493 24.379666, 89.9802493 24.379916, 89.9815827 24.3811938, 89.9899997 24.3853608, 89.99394409999999 24.3861108, 89.9941108 24.3863886, 89.9946941 24.3873886, 89.99627740000001 24.3910552, 89.9954441 24.392583, 89.99516629999999 24.3932219, 89.9920552 24.3989719, 89.9912497 24.4081389, 89.99159256609275 24.41248258378387)",46335,12.81886812,,road,,0,,25767,0,N4,46803,73.904,0,,1625022547,1.004029229,1.00605449,1.013035292,0.009252766,0.08234127,1.06457613,0,0.076609919,55,1.005956489,0.013898413,274327.8172,1107758.628,2509,0.064160341,912.3636364,0,0.146543918,2.75,2509
24,,,36885,1,,13481,0,518.177,,"LINESTRING (88.55263890000001 26.3298049, 88.5545833 26.3313604, 88.5548611 26.3316382, 88.55475 26.3341386, 88.55622220000001 26.3409441, 88.5565278 26.3419441, 88.55744440000001 26.3453608, 88.55877779999999 26.3496108, 88.5609444 26.3583889, 88.56286109999999 26.3673327, 88.56322220000001 26.3748049, 88.5631667 26.3762493, 88.5629722 26.3793327, 88.5629167 26.3853052, 88.56299999999999 26.3864441, 88.56205559999999 26.3941108, 88.5599722 26.4030278, 88.5589167 26.4124444, 88.5594444 26.4135833, 88.5623889 26.4200549, 88.56477779999999 26.4249438, 88.5650833 26.4286938, 88.5650833 26.4288049, 88.5655278 26.4376108, 88.5654444 26.4384719, 88.56563890000001 26.4447774, 88.56574999999999 26.4466108, 88.5612222 26.4526111, 88.56036109999999 26.4526944, 88.55986109999999 26.4527778, 88.5555833 26.4584167, 88.54777740000002 26.4641389, 88.54063859999999 26.4692771, 88.5402497 26.4695271, 88.53266600000001 26.4749438, 88.53194379999999 26.4754716, 88.52419379999999 26.4804716, 88.5241382 26.4803882, 88.5238604 26.4803327, 88.51941600000001 26.4798049, 88.5155556 26.4792771, 88.5141667 26.4790271, 88.50713890000002 26.4773604, 88.50447220000001 26.4766938, 88.5035833 26.4765271, 88.50263890000001 26.4762216, 88.4964719 26.4736382, 88.49563859999999 26.4728604, 88.49127740000002 26.4702216, 88.4888886 26.4682493, 88.48641629999999 26.4683604, 88.48558299999999 26.4693604, 88.47863819999999 26.4706382, 88.4728327 26.470916, 88.4684438 26.4711938, 88.45941670000001 26.4718327, 88.45911109999999 26.4718882, 88.4585278 26.4719716, 88.4498052 26.4750827, 88.44944409999999 26.4752771, 88.44338859999999 26.4763882, 88.43977740000001 26.4763604, 88.43558299999999 26.4787771, 88.43513859999999 26.4791938, 88.43102709999999 26.4808049, 88.42191600000001 26.4832771, 88.4187493 26.4837497, 88.41202779999999 26.4851386, 88.40863890000001 26.4864163, 88.4024167 26.4873886, 88.4015278 26.4876108, 88.3924997 26.4884997, 88.39163859999999 26.488583, 88.38252709999999 26.4885552, 88.3786104 26.488833, 88.3772493 26.4888886, 88.3743882 26.489333, 88.36947159999998 26.4906108, 88.368916 26.4907497, 88.36786040000001 26.4909997, 88.36372220000001 26.493083, 88.3634722 26.4936386, 88.36286109999999 26.4951941, 88.3615556 26.4984719, 88.3605833 26.5010833, 88.3605 26.5011667, 88.36033329999999 26.5015833, 88.35875 26.5056389, 88.35727779999999 26.5094444, 88.3571944 26.5096111, 88.35700000000001 26.5100833, 88.35588890000001 26.513, 88.3558056 26.5131111, 88.35502779999999 26.5156944, 88.35683330000001 26.5184438, 88.36088890000001 26.5254993, 88.36141670000001 26.5263604, 88.3642778 26.5328049, 88.36441670000001 26.5332216, 88.36271258421053 26.53467391680815, 88.36874484210527 26.54280915840408, 88.37477709999999 26.5509444, 88.37905490000001 26.5588056, 88.3819438 26.5641944, 88.38341629999999 26.5669716, 88.38408299999999 26.5681382, 88.38427740000002 26.5684993, 88.3878608 26.5750827, 88.3920552 26.582666, 88.39227740000001 26.5832216, 88.3957497 26.5896108, 88.39669410000001 26.591333, 88.40100000000001 26.5994719, 88.40138890000002 26.6001667, 88.40547220000001 26.6076667, 88.4090556 26.61461110000001, 88.40941670000001 26.6159444, 88.41211028585859 26.62465621818182, 88.41475 26.6331938, 88.4148333 26.6332216)",26623,53.728,,road,,0,,23812,0,N5,26455,518.177,0,,1348136885,1,1,1,1.39E-15,0,0.991585981,0,0,0,1,0,0,0,902,0,189.8947368,0,0.042805175,4.75,902
25,,,22551,0,,13865,0,18.177,,"LINESTRING (88.60874772736943 24.40855170239181, 88.6087222 24.4085556, 88.60575 24.4081389, 88.60511109999999 24.4081944, 88.6020556 24.4085556, 88.5971663 24.4076111, 88.5962497 24.4073056, 88.59552740000001 24.4070278, 88.59422190000001 24.4065278, 88.591583 24.4055833, 88.5886108 24.4045, 88.58716629999999 24.4039444, 88.58705520000001 24.4038889, 88.5849441 24.4032778, 88.5823604 24.4026944, 88.58013819999999 24.4021944, 88.57852709999999 24.4005833, 88.5784438 24.4005, 88.5769438 24.3991108, 88.5749993 24.3972219, 88.57347159999999 24.395833, 88.57158270000001 24.394083, 88.57005490000002 24.3933052, 88.5684438 24.3925274, 88.5626111 24.3900552, 88.56197220000001 24.3897497, 88.5600278 24.3889163, 88.55377779999999 24.3862497, 88.5504444 24.3849719, 88.54963859999999 24.3846941, 88.54641629999999 24.383583, 88.5454441 24.3832493, 88.54505520000001 24.3830271)",49917,7.332693811,,road,,0,,14941,0,N603,2559,18.177,0,,1386522551,1.000621968,1,1.000550615,0.000987871,0.010912698,1.004865848,0,0.020355292,7,1.000902642,0.001470193,84584.58619,170033.2548,3244,0.023932794,720.8888889,0,0,4.5,3244
26,,,22551,0,,4658,0,13.316,,"LINESTRING (88.72611040000001 24.3661944, 88.72533270000001 24.3673049, 88.7239993 24.3690271, 88.7226938 24.3705271, 88.72247159999999 24.3708049, 88.7203604 24.3733327, 88.72016600000001 24.3735549, 88.71672159999999 24.3767493, 88.7126389 24.3783604, 88.7079722 24.3790827, 88.70461109999999 24.3789438, 88.7029167 24.3788327, 88.69705520000001 24.3825549, 88.69638859999999 24.3828327, 88.69527740000001 24.3839163, 88.69463859999999 24.3844997, 88.6915552 24.3875274, 88.6888608 24.3901941, 88.6885552 24.3905274, 88.6869997 24.3921108, 88.6852497 24.393833, 88.68383299999999 24.3952497, 88.68166600000001 24.3970552, 88.6813882 24.397083, 88.6813882 24.3978608, 88.6778604 24.3982774, 88.6753604 24.3980274, 88.67266600000001 24.3976941, 88.6724993 24.3976386, 88.6711104 24.3975274, 88.6690827 24.3972774, 88.66716600000001 24.397083, 88.66363890000001 24.3971941, 88.6626667 24.3972497, 88.66152779999999 24.3973608, 88.65888890000001 24.3975552, 88.6569444 24.3974997, 88.6528611 24.3979997, 88.65088890000001 24.3981386, 88.65013752057125 24.39821907043766, 88.65011109999999 24.3982219, 88.6486108 24.3983886, 88.6472497 24.3986386, 88.64533299999999 24.3989163, 88.6431108 24.3992497, 88.6396941 24.3998052, 88.6377497 24.4001667, 88.63427740000002 24.4009167, 88.63352740000001 24.4010278, 88.6308327 24.4015278, 88.63066600000001 24.4015556, 88.6274993 24.4023333, 88.6253882 24.4029167, 88.62397159999999 24.40325, 88.6224993 24.4035833, 88.61505560000001 24.4074722, 88.61502779999999 24.4074444, 88.61236109999999 24.408, 88.60874772736943 24.40855170239181)",49916,13.69730619,,road,,0,,32782,0,N603,2556,13.316,0,,465822551,1.001172426,1.00201005,1,1.39E-15,0,1.001692116,0,0.003700962,14,1,0,0,0,3244,0.002327024,720.8888889,0,0,4.5,3244
27,,,22551,0,,8595,0,59.385,,"LINESTRING (88.60874772736943 24.40855170239181, 88.60875 24.4085556, 88.60905560000001 24.41, 88.61061109999999 24.4169438, 88.61061109999999 24.417666, 88.61061109999999 24.4200271, 88.61061109999999 24.4257216, 88.61061109999999 24.4260271, 88.6106944 24.4337219, 88.6106944 24.4349997, 88.61222220000001 24.4423886, 88.6125 24.4436941, 88.61388890000001 24.4524722, 88.6135278 24.4543611, 88.6130556 24.4592778, 88.61313890000001 24.4599444, 88.61333329999999 24.4608889, 88.61205560000001 24.4690827, 88.6120833 24.4690271, 88.6106944 24.4725549, 88.6099167 24.4783604, 88.60972220000001 24.4812493, 88.6106667 24.4871663, 88.6105556 24.4881108, 88.61225 24.4920552, 88.6126944 24.4957219, 88.6126111 24.4973886, 88.6147778 24.5025833, 88.61624999999999 24.5030556, 88.62033270000001 24.5043889, 88.62555490000001 24.5060833, 88.6274438 24.5070556, 88.6334997 24.5109444, 88.6336941 24.5111111, 88.6371108 24.5149722, 88.6386108 24.5186938, 88.6394719 24.5208327, 88.6409163 24.5240271, 88.6420274 24.5271104, 88.6438052 24.5322771, 88.64522190000001 24.5351663, 88.6454719 24.5352774, 88.6468886 24.5394997, 88.6473886 24.5442497, 88.6468608 24.5457774, 88.646833 24.5472497, 88.6468886 24.5510556, 88.6471663 24.5528889, 88.64729362499998 24.55325811805556, 88.6479997 24.5553056, 88.6505556 24.5616667, 88.65116670000001 24.5636389, 88.65183329999999 24.5661667, 88.65236109999999 24.570416, 88.65212129417476 24.57463926834952, 88.65186109999999 24.5792216, 88.6531389 24.5868608, 88.6532778 24.5880552, 88.6545 24.5934163, 88.6545 24.5937774, 88.6548889 24.5970552, 88.6562222 24.60125, 88.6575556 24.6056389, 88.6583355688 24.609759874, 88.6592222 24.6144444, 88.6610556 24.6223327, 88.66144440000001 24.6230827, 88.66430559999999 24.6279438, 88.66595164830919 24.63054424057971, 88.66727709999999 24.6326382, 88.667416 24.6338608, 88.66788819999999 24.6369441, 88.6682493 24.639583, 88.6677771 24.6435552, 88.6674438 24.6439719, 88.66512360360065 24.64704724697217, 88.6640278 24.6484997, 88.66374999999999 24.6560556, 88.6638889 24.6568889, 88.6638889 24.6570556, 88.66577779999999 24.6612222, 88.66750133448275 24.66378444137931, 88.6677771 24.6641944, 88.66977709999999 24.6677216, 88.6722493 24.6723604, 88.67339085211269 24.67668087173709, 88.67444379999999 24.680666, 88.6744978527027 24.68092952567568, 88.67577709999999 24.6871663, 88.6759716 24.6898052, 88.675916 24.6918608, 88.67569379999999 24.6989163, 88.67569379999999 24.6992219, 88.6758327 24.7062778, 88.6764993 24.7079722, 88.6777493 24.7167771, 88.6827493 24.7244993, 88.682666 24.7326382, 88.68272159999999 24.7332493, 88.6836108 24.7425274, 88.6836108 24.7444997, 88.6851108 24.7514167, 88.6866386 24.7558611, 88.68808299999999 24.7580556, 88.689083 24.7595278, 88.6943608 24.7676382, 88.695083 24.7687216, 88.6956663 24.7695827, 88.7000556 24.7750549, 88.7018333 24.7757216, 88.70193835150786 24.77575911132097, 88.70299999999999 24.7761382, 88.70447220000001 24.7766382, 88.7090556 24.7783604, 88.71144440000001 24.7802216, 88.71463890000001 24.7829716, 88.7164167 24.7844441, 88.71905490000002 24.7862774, 88.72452709999999 24.7894163, 88.7263882 24.7904719, 88.73030490000001 24.7926663, 88.7330271 24.7941663, 88.74102740000001 24.799083, 88.7489719 24.8038333, 88.7489719 24.8038889, 88.749583 24.8040556, 88.75825 24.8081389, 88.76671515760599 24.81281688678305, 88.7751382 24.8174716, 88.7763882 24.8182216, 88.783333 24.8221938, 88.7918052 24.8272771, 88.79974969999999 24.832166, 88.80094440000001 24.8328604, 88.80277779999999 24.8339441, 88.8078611 24.8371108, 88.8126111 24.8398886, 88.81299999999999 24.8401386, 88.81611109999999 24.8420274, 88.8183604 24.8434997, 88.82222159999999 24.8461386, 88.8239438 24.8475552, 88.83136040000001 24.8535278, 88.8336386 24.8553333, 88.83877740000001 24.8595, 88.84616629999999 24.8654167, 88.8466663 24.8655556)",13299,62.42552607,,road,,0,,20956,0,R685,17617,59.385,0,,859522551,1,1,1.000652068,0.001460615,0.010912698,1.01103137,1,0.024056255,42,1.001366073,0.002386648,140177.3882,368435.9211,736,0.02160577,163.5555556,0,0,4.5,736
28,,,34840,1,,22425,0,1,,"LINESTRING (90.5143056 23.5659167, 90.51824930000001 23.5643889, 90.523416 23.56325, 90.53141600000001 23.5585, 90.53538859999999 23.552, 90.53538859999999 23.5487774)",49399,3.378,,road,,0,,21767,0,R813,50015,1,0,,2242534840,1.020721908,1.026776519,1,1.39E-15,0.03125,1.001063648,101,0.023316062,81,1,0,0,0,651,0.028113952,200.3076923,0.000113536,0,3.25,651
29,,,22553,0,,22600,0,0.584,,"LINESTRING (89.24592277518154 23.99923905186006, 89.2454441 23.999083)",50020,0.054644807,,road,,0,,32787,0,R601,5080,0.01,0,,2255322600,1.000067812,1,1,1.39E-15,0,1.000001492,0,0.008882309,40,1,0,0,0,404,0.005666553,179.5555556,0,0,2.25,404
30,,,22553,0,,5832,0,0.584,,"LINESTRING (89.24592277518154 23.99923905186006, 89.2504722 24.0007222)",50021,0.519355193,,road,,0,,32789,0,R601,5080,0.01,0,,583222553,1,1,1,1.39E-15,0,1.000000546,0,0.005181347,40,1,0,0,0,404,0.002494845,179.5555556,0,0,2.25,404
31,,,22553,0,,4746,0,0.64,,"LINESTRING (89.2586111 24.0075, 89.2583056 24.0073056, 89.2528056 24.0067778, 89.25024999999999 24.0063889, 89.24924969999999 24.0063611, 89.24927740000001 24.0063333, 89.248333 24.0058333, 89.24694409999999 24.0019444, 89.24592277518154 23.99923905186006)",2655,1.897996587,,road,,0,,14943,0,N604,2591,0.64,0,,474622553,1.003636722,1.004028197,1,1.39E-15,0,1.000286727,0,0.003700962,40,1,0,0,0,757,0.007509183,252.3333333,0,0,3,757
32,,,22553,0,,22555,0,1.98,,"LINESTRING (89.24592277518154 23.99923905186006, 89.24591629999999 23.9992219, 89.24582181673422 23.99920613861513)",49919,0.024681664,,road,,0,,32791,0,N604,2596,1.582,0,,2255322555,1,1,1,1.39E-15,0,1.000000434,0,0,40,1,0,0,0,757,0.004337475,252.3333333,0,0,3,757
33,,,22555,0,,22600,0,0.584,,"LINESTRING (89.24582181673422 23.99920613861513, 89.2454441 23.999083)",50022,0.043119549,,road,,0,,32792,0,R601,5080,0.01,0,,2255522600,1.000113503,1,1,1.39E-15,0,1.000001555,0,0.009252406,40,1,0,0,0,404,0.005566907,179.5555556,0,0,2.25,404
34,,,22555,0,,4755,0,1.98,,"LINESTRING (89.24582181673422 23.99920613861513, 89.245583 23.9991663, 89.2453886 23.9991663)",2659,0.077321748,,road,,0,,14951,0,N604,2597,1.98,0,,475522555,1,1,1,1.39E-15,0,1,0,0,40,1,0,0,0,757,0,252.3333333,0,0,3,757
35,,,22555,0,,5832,0,0.584,,"LINESTRING (89.24582181673422 23.99920613861513, 89.2504722 24.0007222)",50023,0.530880451,,road,,0,,32790,0,R601,5080,0.01,0,,583222555,1,1,1,1.39E-15,0,1.000000072,0,0.009252406,40,1,0,0,0,404,0.001229432,179.5555556,0,0,2.25,404
