,Class,Comment,FNODE_,IsCentroid,Linestring,TNODE_,cross,endChainag,fix_id,geometry,id,length,length_1,mode,name,networkGrp,osm_id,osmid,penalty,road,roadId,startChain,type,width,FromTo,m1_01,m1_02,m2_01,m2_02,m3_01,m3_02,m4_01,m4_02,m5_01,m6_01,m7_01,m7_02,m7_03,m8_01,m8_02,m8_03,m9_01,m10,avrgLane,truckAadt
934,1,,1301,0,106,1956,1,,221,"LINESTRING (89.52216485688896 22.74048588734085, 89.55481293787655 22.75501702350614, 89.58452492002546 22.77622270319898, 89.58478521859777 22.77742271356521, 89.58515408189759 22.77912322148412, 89.58585375344217 22.78621913875318, 89.58515408189759 22.79137957400067, 89.58375473880845 22.79589479464701, 89.58165572417474 22.80169985860012, 89.58163343534505 22.80180259235718)",1464,11.64284089,,water,Rupsha,0,,11999,0,,,,river,,13011956,1.001421679,1.00201005,1,1.39E-15,0,0.896584172,0,0.004811251,20,1,0,0,0,0,0.0084862,0,0,0,0,0
935,,,21782,0,,16235,0,147.121,,"LINESTRING (89.1350552 23.4085556, 89.13552740000002 23.4061944, 89.1361663 23.4028611, 89.1367497 23.3972219, 89.13702740000001 23.3908052, 89.1371941 23.388333, 89.137333 23.3873052, 89.13758299999999 23.3842219, 89.1381663 23.3808327, 89.1386941 23.3794716, 89.1402497 23.3739993, 89.14122190000001 23.3705549, 89.14163859999999 23.3641389, 89.14180520000001 23.36175, 89.1427219 23.3546111, 89.142833 23.3529722, 89.14286079999999 23.3523889, 89.1427219 23.3481108, 89.14266629999999 23.3455552, 89.14266629999999 23.344333, 89.1426386 23.3438886, 89.14266629999999 23.341333, 89.14302740000001 23.3349163, 89.1446108 23.3269716, 89.14483299999999 23.3259716, 89.1474441 23.3173049, 89.1486108 23.3120556, 89.15000000000001 23.3086944, 89.15406026090003 23.3007919545, 89.15413890000001 23.3006389, 89.1557778 23.2920274, 89.15538890000001 23.2836941, 89.15563890000001 23.2830271, 89.15861109999999 23.2743882, 89.16152779999999 23.2654167, 89.16263890000001 23.2617222, 89.1638056 23.2571111, 89.16613890000001 23.2486663, 89.1665833 23.2418886, 89.1665 23.2416108, 89.1659167 23.2396386, 89.1639722 23.2312771, 89.16372220000001 23.2261938, 89.1640833 23.221916, 89.1654444 23.2180827, 89.1669993 23.214, 89.17274930000001 23.2061667, 89.17755490000002 23.1989441, 89.18383299999999 23.19163860000001, 89.18388859999999 23.1909163, 89.18502740000001 23.1875552, 89.187083 23.1851386, 89.1879441 23.1842774, 89.19116629999999 23.1810549)",46847,26.763,,road,,0,,24935,0,N7,47346,127.444,0,,1623521782,1.002648802,1.004028197,1.012011347,0.010367612,0.083829365,1.188606076,0,0.086972613,30,1.005716353,0.011023336,193907.8134,984455.8164,2323,0.053780231,774.3333333,0,0.068497501,3,2323
936,3,,3352,0,59,763,1,,187,"LINESTRING (92.24497803320972 24.90796859632268, 92.21435790811476 24.88719892347715, 92.1852205 24.8781821, 92.1589563 24.8618292, 92.1220491 24.863854, 92.08712586469562 24.84730558552436, 92.084627 24.8454741, 92.0834253 24.8397104, 92.082052 24.8375294, 92.07947710000001 24.8375294, 92.0774172 24.8365947, 92.07570060000001 24.8328558, 92.07432729999999 24.82974, 92.0702074 24.822885, 92.0678041 24.8177434, 92.0693491 24.8133807, 92.07381228085636 24.80921369767054, 92.07405113259226 24.80899069623457, 92.05177693162314 24.78762198034317, 92.04797210625115 24.75704703226592, 92.03313756029436 24.72745198538269, 91.99610115570553 24.72145209324279, 91.9613741 24.7101893, 91.93021770716656 24.69606399477986, 91.91041913990341 24.67360436806501, 91.8959711 24.6459242, 91.8657587 24.6551292, 91.8322847 24.6538811, 91.79795249999999 24.6409313, 91.77529319999999 24.6264197, 91.74799899999999 24.59723540000001, 91.7241362 24.5950303, 91.6843126 24.6209579, 91.64844569734865 24.64507245519162, 91.61835479079936 24.67067140876431, 91.5909288 24.6758771, 91.5662606040806 24.69179278015191, 91.565523 24.6959976, 91.56140310000001 24.6969334, 91.5595148 24.6941261, 91.5595148 24.6910068, 91.55556660000001 24.6896031, 91.5514467 24.6916307, 91.5404604 24.6966215, 91.53209929960508 24.70330601618996)",870,130.2877321,,water,Kushiyara River,0,138303222,11252,0,,,,river,,7633352,1,1,1,1.39E-15,0,1.002871381,0,0,42,1,0,0,0,0,0,0,0,0,0,0
937,3,,3352,0,53,23940,1,,161,"LINESTRING (91.53209929960508 24.70330601618996, 91.53187730000001 24.7034835, 91.49777123826141 24.70056610685739, 91.4577196 24.6855478, 91.42527560000001 24.6935022, 91.3820169 24.694438, 91.3456247 24.6855478, 91.3200267 24.654153, 91.2981180357711 24.62128493849673, 91.28254656592206 24.59162117769904, 91.2405705 24.5764662, 91.2220155888343 24.54015130096318, 91.19637572420248 24.50653403244178, 91.18087770428937 24.48036111346775, 91.18402739351305 24.45982524638833, 91.1709659118149 24.44506048054327, 91.2007955 24.4233457, 91.17333630843368 24.3986275359576, 91.14672551646856 24.37378994250355, 91.1585247 24.3413524, 91.12033181602912 24.33564904865514, 91.12816000769901 24.30547240013528, 91.15602276178367 24.27721457757184)",102,102.5237314,,water,Kushiyara River,0,138303222,10111,0,,,,river,,335223940,1,1,1,1.39E-15,0,0.995258142,0,0.010362694,32,1,0,0,0,0,0.002696328,0,0,0,0,0
938,4,,1305,0,98,1307,0,,171,"LINESTRING (88.21799800501131 24.45397266772086, 88.22419638355802 24.45605766364537)",1468,0.735815955,,water,Padma,-1,288288167,11362,0,,,,river,,13051307,1,1,1,1.39E-15,0,0.984698025,0,0,5,1,0,0,0,0,0,0,0,0,0,0
939,4,,1305,0,98,421,0,,171,"LINESTRING (88.03861931879807 24.64391429815007, 88.07356111226908 24.63884078178491, 88.10858519805308 24.6342760905895, 88.14274414911159 24.62695377149191, 88.1558292 24.6202305, 88.1746874 24.5845772, 88.16958750096197 24.54206448700998, 88.15388789732658 24.50279706181092, 88.16373466463244 24.46965685211001, 88.1889359213735 24.44901623332737, 88.21799800501131 24.45397266772086)",1467,39.17040497,,water,Padma,0,288288167,10876,0,,,,river,,4211305,1,1,1,1.39E-15,0,0.990982887,0,0,6,1,0,0,0,0,0,0,0,0,0,0
940,,,7450,0,,7571,0,49.335,,"LINESTRING (90.41238890000001 24.2206938, 90.41036109999999 24.2243604, 90.4096667 24.2261104)",11493,0.679,,road,,0,,24499,0,N3,46423,49.335,0,,74507571,1.001289976,1.00201005,1.00818553,0.008601372,0.055555556,1.034113381,1,0.055514434,26,1.007516929,0.013389706,638118.58,2025123.471,3337,0.042746139,417.125,0,0,8,3337
941,2,,1310,0,123,1316,0,,154,"LINESTRING (89.69239000298626 25.25753244564149, 89.68858490384764 25.24950241468427, 89.68848560000001 25.2193527)",1475,4.422153749,,water,Brahmaputra,0,101999102,11366,0,,,,river,,13101316,1,1,1,1.39E-15,0,1,0,0.015173945,6,1,0,0,0,0,0.000497188,0,0,0,0,0
942,4,Assumed class,1584,0,131,1585,0,,180,"LINESTRING (89.39098900000001 25.601549, 89.39321700000001 25.600971)",1765,0.258820434,,water,Ghagot River,0,169841139,11685,0,,,,river,,15841585,1,1,1,1.39E-15,0,1.000943203,0,0,43,1,0,0,0,0,0,0,0,0.151198924,0,0
943,4,Assumed class,1584,0,131,1588,0,,180,"LINESTRING (89.39098900000001 25.601549, 89.389906 25.599671, 89.385144 25.585399)",1766,4.245563415,,water,Ghagot River,0,169841139,11690,0,,,,river,,15841588,1,1,1,1.39E-15,0,1.041033334,0,0,43,1,0,0,0,0,0,0,0,0.243964875,0,0
