OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,Handloom_Facility
1,20,BGD,Bangladesh,1,Barisal,1,Barisal,BD.BA.BS,NA,,Zila,District,,,6
2,20,BGD,Bangladesh,1,Barisal,2,Bhola,BD.BA.BL,NA,,Zila,District,,,0
3,20,BGD,Bangladesh,1,Barisal,3,Borgona,BD.BA.BG,NA,,Zila,District,,Barguna|Borgona,211
4,20,BGD,Bangladesh,1,Barisal,4,Jhalakati,BD.BA.JK,NA,,Zila,District,,Jhalakati|Jhalakhati|Jhalkathi,37
5,20,BGD,Bangladesh,1,Barisal,5,Patuakhali,BD.BA.PT,NA,,Zila,District,,,239
6,20,BGD,Bangladesh,1,Barisal,6,Pirojpur,BD.BA.PR,NA,,Zila,District,,,11
7,20,BGD,Bangladesh,2,Chittagong,7,Bandarbon,BD.CG.BD,NA,,Zila,District,,Bandarban|Bandarbon,9428
8,20,BGD,Bangladesh,2,Chittagong,8,Brahmanbaria,BD.CG.BB,NA,,Zila,District,,,1037
9,20,BGD,Bangladesh,2,Chittagong,9,Chandpur,BD.CG.CP,NA,,Zila,District,,,6
10,20,BGD,Bangladesh,2,Chittagong,10,Chittagong,BD.CG.CT,NA,,Zila,District,,Chittagong|Chitagongue,2
11,20,BGD,Bangladesh,2,Chittagong,11,Comilla,BD.CG.CM,NA,,Zila,District,,,163
12,20,BGD,Bangladesh,2,Chittagong,12,Cox's Bazar,BD.CG.CB,NA,,Zila,District,,,125
13,20,BGD,Bangladesh,2,Chittagong,13,Feni,BD.CG.FN,NA,,Zila,District,,,0
14,20,BGD,Bangladesh,2,Chittagong,14,Khagrachari,BD.CG.KG,NA,,Zila,District,,Khagrachari|Khagrachhari|Ramgarh,33
15,20,BGD,Bangladesh,2,Chittagong,15,Lakshmipur,BD.CG.LK,NA,,Zila,District,,Lakshmipur|Laksmipur|Laxmipur,5
16,20,BGD,Bangladesh,2,Chittagong,16,Noakhali,BD.CG.NO,NA,,Zila,District,,,2
17,20,BGD,Bangladesh,2,Chittagong,17,Parbattya Chattagram,BD.CG.PC,NA,,Zila,District,,Parbattya Chattagram|Chittagong Hill Tracts|Rangamati,19
18,20,BGD,Bangladesh,3,Dhaka,18,Dhaka,BD.DA.DH,NA,,Zila,District,,,923
19,20,BGD,Bangladesh,3,Dhaka,19,Faridpur,BD.DA.FR,NA,,Zila,District,,,156
20,20,BGD,Bangladesh,3,Dhaka,20,Gazipur,BD.DA.GZ,NA,,Zila,District,,,11
21,20,BGD,Bangladesh,3,Dhaka,21,Gopalgonj,BD.DA.GG,NA,,Zila,District,,Gopalganj|Gopalgonj,6
22,20,BGD,Bangladesh,3,Dhaka,22,Jamalpur,BD.DA.JM,NA,,Zila,District,,,4
23,20,BGD,Bangladesh,3,Dhaka,23,Kishoreganj,BD.DA.KS,NA,,Zila,District,,Kishoreganj|Kishoreganj|Kishorgonj,1
24,20,BGD,Bangladesh,3,Dhaka,24,Madaripur,BD.DA.MD,NA,,Zila,District,,,574
25,20,BGD,Bangladesh,3,Dhaka,25,Manikgonj,BD.DA.MK,NA,,Zila,District,,Manikganj|Manikgonj,119
26,20,BGD,Bangladesh,3,Dhaka,26,Munshigonj,BD.DA.MU,NA,,Zila,District,,Munshiganj|Munshigonj,612
27,20,BGD,Bangladesh,3,Dhaka,27,Naray Angonj,BD.DA.NY,NA,,Zila,District,,Narayanganj|Naray Angonj,2323
28,20,BGD,Bangladesh,3,Dhaka,28,Narshingdi,BD.DA.NS,NA,,Zila,District,,Narsingdi|Narshingdi,3141
29,20,BGD,Bangladesh,3,Dhaka,29,Nasirabad,BD.DA.MM,NA,,Zila,District,,Mymensingh|Nasirabad,NA
30,20,BGD,Bangladesh,3,Dhaka,30,Netrakona,BD.DA.NK,NA,,Zila,District,,Netrakona|Netrokona,135
31,20,BGD,Bangladesh,3,Dhaka,31,Rajbari,BD.DA.RB,NA,,Zila,District,,,1376
32,20,BGD,Bangladesh,3,Dhaka,32,Shariatpur,BD.DA.SA,NA,,Zila,District,,Shariatpur|Sariatpur|Shariyatpur,25
33,20,BGD,Bangladesh,3,Dhaka,33,Sherpur,BD.DA.SP,NA,,Zila,District,,,0
34,20,BGD,Bangladesh,3,Dhaka,34,Tangail,BD.DA.TA,NA,,Zila,District,,,6021
35,20,BGD,Bangladesh,4,Khulna,35,Bagerhat,BD.KH.BH,NA,,Zila,District,,,NA
36,20,BGD,Bangladesh,4,Khulna,36,Choua Danga,BD.KH.CD,NA,,Zila,District,,Chuadanga|Choua Danga,1504
37,20,BGD,Bangladesh,4,Khulna,37,Jessore,BD.KH.JS,NA,,Zila,District,,,881
38,20,BGD,Bangladesh,4,Khulna,38,Jhenaidah,BD.KH.JN,NA,,Zila,District,,Jhenaidah|Jhinaidah|Jhinaidha,2688
39,20,BGD,Bangladesh,4,Khulna,39,Khulna,BD.KH.KL,NA,,Zila,District,,,300
40,20,BGD,Bangladesh,4,Khulna,40,Kustia,BD.KH.KU,NA,,Zila,District,,Kushtia|Kustia,11217
41,20,BGD,Bangladesh,4,Khulna,41,Magura,BD.KH.MG,NA,,Zila,District,,,173
42,20,BGD,Bangladesh,4,Khulna,42,Meherpur,BD.KH.ME,NA,,Zila,District,,,177
43,20,BGD,Bangladesh,4,Khulna,43,Narail,BD.KH.NR,NA,,Zila,District,,,NA
44,20,BGD,Bangladesh,4,Khulna,44,Shatkhira,BD.KH.ST,NA,,Zila,District,,Satkhira|Shatkhira,587
45,20,BGD,Bangladesh,5,Rajshahi,45,Bogra,BD.RS.BO,NA,,Zila,District,,,3128
46,20,BGD,Bangladesh,5,Rajshahi,46,Jaipurhat,BD.RS.JP,NA,,Zila,District,,Jaipurhat|Joypurhat,121
47,20,BGD,Bangladesh,5,Rajshahi,47,Naogaon,BD.RS.NA,NA,,Zila,District,,,410
48,20,BGD,Bangladesh,5,Rajshahi,48,Natore,BD.RS.NT,NA,,Zila,District,,Natore|Nador|Nator,54
49,20,BGD,Bangladesh,5,Rajshahi,49,Nawabganj,BD.RS.NW,NA,,Zila,District,,Nawabganj|Chapai Nababgonj|Chapai Nawabganj|Chapai Nowab Ganj,1303
50,20,BGD,Bangladesh,5,Rajshahi,50,Pabna,BD.RS.PB,NA,,Zila,District,,,10239
51,20,BGD,Bangladesh,5,Rajshahi,51,Rajshahi,BD.RS.RS,NA,,Zila,District,,,689
52,20,BGD,Bangladesh,5,Rajshahi,52,Sirajgonj,BD.RS.SR,NA,,Zila,District,,Sirajganj|Sirajgonj,14849
53,20,BGD,Bangladesh,6,Rangpur,53,Dinajpur,BD.RP.DJ,NA,,Zila,District,,,250
54,20,BGD,Bangladesh,6,Rangpur,54,Gaibanda,BD.RP.GB,NA,,Zila,District,,Gaibandha|Gaibanda,36
55,20,BGD,Bangladesh,6,Rangpur,55,Kurigram,BD.RP.KR,NA,,Zila,District,,,57
56,20,BGD,Bangladesh,6,Rangpur,56,Lalmonirhat,BD.RP.LL,NA,,Zila,District,,,2
57,20,BGD,Bangladesh,6,Rangpur,57,Nilphamari,BD.RP.NP,NA,,Zila,District,,,50
58,20,BGD,Bangladesh,6,Rangpur,58,Panchagarh,BD.RP.PN,NA,,Zila,District,,Panchagarh|Panchagar|Panchagor,33
59,20,BGD,Bangladesh,6,Rangpur,59,Rongpur,BD.RP.RP,NA,,Zila,District,,Rangpur|Rongpur,36
60,20,BGD,Bangladesh,6,Rangpur,60,Thakurgaon,BD.RP.TH,NA,,Zila,District,,,25
61,20,BGD,Bangladesh,7,Sylhet,61,Hobiganj,BD.SY.HA,NA,,Zila,District,,Habiganj|Hobiganj|Hobigonj,410
62,20,BGD,Bangladesh,7,Sylhet,62,Moulvibazar,BD.SY.MB,NA,,Zila,District,,Moulvibazar|Maulvi Bazar|Moulabi Bazar|Moulavi Bazar|Moulovibazar,55
63,20,BGD,Bangladesh,7,Sylhet,63,Sun Amgonj,BD.SY.SN,NA,,Zila,District,,Sunamganj|Sun Amgonj,15
64,20,BGD,Bangladesh,7,Sylhet,64,Sylhet,BD.SY.SL,NA,,Zila,District,,,52
